uI=1.60,ek_1=10.00,constant,w=10,n=0,erkannt=0,e=10,u=51
1.60,1,10.00,1,10,0,0,10,51
3.20,1,10.00,1,10,0,0,10,53
4.80,1,10.00,1,10,0,0,10,54
6.40,1,10.00,1,10,0,0,10,56
8.00,1,10.00,1,10,0,0,10,58
9.60,1,10.00,1,10,0,0,10,59
11.20,1,10.00,1,10,0,0,10,61
12.80,1,10.00,1,10,0,0,10,62
14.40,1,10.00,1,10,0,0,10,64
16.00,1,10.00,1,10,0,0,10,66
17.60,1,10.00,1,10,0,0,10,67
19.20,1,10.00,1,10,0,0,10,69
20.48,1,8.00,1,10,2,2,8,60
21.44,1,6.00,1,10,4,4,6,51
22.40,1,6.00,1,10,4,4,6,52
23.36,1,6.00,1,10,4,4,6,53
24.48,1,7.00,1,10,3,3,7,59
25.44,1,6.00,1,10,4,4,6,55
26.40,1,6.00,1,10,4,4,6,56
27.36,1,6.00,1,10,4,4,6,57
28.16,1,5.00,1,10,5,5,5,53
29.12,1,6.00,1,10,4,4,6,59
30.08,1,6.00,1,10,4,4,6,60
31.04,1,6.00,1,10,4,4,6,61
31.84,1,5.00,1,10,5,5,5,56
32.64,1,5.00,1,10,5,5,5,57
33.60,1,6.00,1,10,4,4,6,63
34.40,1,5.00,1,10,5,5,5,59
35.20,1,5.00,1,10,5,5,5,60
36.16,1,6.00,1,10,4,5,6,66
36.96,1,5.00,1,10,5,5,5,61
37.76,1,5.00,1,10,5,5,5,62
38.56,1,5.00,1,10,5,5,5,63
39.36,1,5.00,1,10,5,5,5,64
40.16,1,5.00,1,10,5,5,5,65
40.96,1,5.00,1,10,5,5,5,65
41.60,1,4.00,1,10,6,6,4,61
42.40,1,5.00,1,10,5,5,5,67
43.04,1,4.00,1,10,6,6,4,63
43.68,1,4.00,1,10,6,6,4,63
44.48,1,5.00,1,10,5,5,5,69
45.12,1,4.00,1,10,6,6,4,65
45.76,1,4.00,1,10,6,6,4,65
46.56,1,5.00,1,10,5,5,5,71
47.20,1,4.00,1,10,6,6,4,67
47.68,1,3.00,1,10,7,7,3,62
48.48,1,5.00,1,10,5,5,5,73
48.96,1,3.00,1,10,7,7,3,63
49.60,1,4.00,1,10,6,6,4,69
50.24,1,4.00,1,10,6,6,4,70
50.88,1,4.00,1,10,6,6,4,70
51.52,1,4.00,1,10,6,6,4,71
52.00,1,3.00,1,10,7,7,3,66
52.64,1,4.00,1,10,6,6,4,72
53.28,1,4.00,1,10,6,6,4,73
53.76,1,3.00,1,10,7,7,3,68
54.40,1,4.00,1,10,6,6,4,74
54.88,1,3.00,1,10,7,7,3,69
55.36,1,3.00,1,10,7,7,3,70
56.00,1,4.00,1,10,6,6,4,75
56.48,1,3.00,1,10,7,7,3,71
